/watch?v=4tGHT-POGz8&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=71%2C (Kor, Eng) 세바시 579회 공동체를 위한 공간과 서비스 디자인 | 엘리자베타 판티 문화 코디네이터
/watch?v=r99ob-WyD20&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=73%2C 세바시 451회 삶은 어느 조각 하나 버릴 것이 없다 | 강윤정 더플레이컴퍼니 대표 | 강의 강연 (Kor, Eng)
/watch?v=NQxBoQFmQdY&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=74%2C 사랑의 실패를 통해 얻게 된 진실 | 박소연 뮤지컬 배우 | 사랑 강의 강연 | 세바시 561회
/watch?v=TpmeW6ahNl0&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=75%2C (Kor, Eng, Spa) 세바시 554회 유엔에서 본 세상, 그리고 북한 | 오준 주 UN대사
/watch?v=Us1jwOyVgBw&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=76%2C 우리들의 방구석이야기 | 백희성 건축가, 아티스트 | 세바시 533회
/watch?v=c2CJllQHkDs&t=634s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=77%2C (Kor, Eng) 세바시 547회 열등감에서 벗어나 나를 사랑하자 | 김수경 빅토리아 가르손느 대표
/watch?v=LG0cLnZDYdg&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=80%2C (Kor, Eng) 세바시 510회 내 삶의 힘 : 그럼에도 불구하고 | 조선희 사진작가
/watch?v=MJUxnjMvTi0&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=81%2C (Kor) 세바시 505회 발달장애인이 세상을 바꿉니다 : Bear makes the world better | 이진희 베어베터 대표
/watch?v=EysAiY8Lg8o&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=82%2C 사랑한다면 탱고처럼 | 김수영 여행작가 | 사랑 강의 강연 | 세바시 552회
/watch?v=MpBlz_3VNIs&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=84%2C (Kor, Eng) 세바시 553회 모멸감과 자존감 | 김찬호 성공회대 교수, '모멸감' 저자
/watch?v=2XK4kEL7D1M&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=85%2C 상상하지 말라. 그리고 관찰하라 | 송길영 다음소프트 부사장 | 세바시 513회
